date,open,high,low,close,volume
2016-01-01,327.6,329.0,325.65,327.5,986305
2016-01-04,325.5,326.1,321.55,325.1,3937630
2016-01-05,325.1,326.4,324.05,324.85,3877655
2016-01-06,327.0,327.0,314.55,315.1,10156320
2016-01-07,313.8,313.8,308.65,309.6,7872807
2016-01-08,311.2,317.0,309.75,313.65,6560224
2016-01-11,310.0,316.8,309.75,316.05,4584482
2016-01-12,315.25,316.9,312.5,315.15,4636511
2016-01-13,317.35,320.4,314.65,315.75,4575057
2016-01-14,313.65,318.75,312.25,317.25,7660816
2016-01-15,315.1,317.4,312.3,313.9,5319830
2016-01-18,313.9,318.65,313.25,315.4,7886674
2016-01-19,315.25,317.5,311.95,314.05,4557407
2016-01-20,310.4,320.0,305.0,308.95,6429138
2016-01-21,311.65,311.65,303.65,306.4,8372840
2016-01-22,309.0,312.75,302.6,308.75,10160985
2016-01-25,305.35,311.85,304.05,309.4,6219629
2016-01-27,309.45,314.2,306.95,312.95,5674287
2016-01-28,312.7,321.85,311.65,318.55,9260353
2016-01-29,322.85,326.0,316.85,320.2,8330821
2016-02-01,318.65,325.0,314.85,324.75,4901035
2016-02-02,323.9,325.9,321.45,324.25,4711218
2016-02-03,321.75,324.25,319.6,321.95,3281195
2016-02-04,322.4,324.6,321.0,321.8,2124513
2016-02-05,323.0,325.95,322.0,323.95,4336061
2016-02-08,324.8,324.9,314.25,315.25,4178590
2016-02-09,313.25,313.75,309.75,312.4,7648866
2016-02-10,312.1,312.95,307.0,309.0,5243771
2016-02-11,310.7,310.7,297.45,298.55,9359960
2016-02-12,299.2,305.15,298.85,300.1,8797023
2016-02-15,303.0,306.0,298.4,303.7,8010757
2016-02-16,304.5,306.0,293.65,295.5,7054286
2016-02-17,296.5,301.8,289.05,299.85,8729597
2016-02-18,301.5,306.7,300.85,305.45,6259671
2016-02-19,305.0,306.1,301.0,304.55,4618192
2016-02-22,302.65,302.65,293.4,299.85,9802856
2016-02-23,297.95,297.95,292.65,293.8,5904620
2016-02-24,293.0,295.4,286.0,287.6,9213935
2016-02-25,284.6,290.3,284.0,286.2,9712012
2016-02-26,289.0,292.0,285.15,290.95,8004124
2016-02-29,290.0,301.65,268.0,295.65,50990820
2016-03-01,305.0,327.0,305.0,325.35,43268307
2016-03-02,328.0,333.9,318.45,319.55,15843544
2016-03-03,323.0,325.0,316.75,318.15,6565522
2016-03-04,320.0,321.75,314.75,315.2,7586791
2016-03-08,316.0,324.0,316.0,320.25,8415752
2016-03-09,317.0,320.7,312.7,319.9,13418972
2016-03-10,319.75,321.8,312.85,316.1,8933222
